file_id,measurement_kind,file_intercorrelation,file_problem_segments,target_correlation,ab_strict_recovery,cd_strict_recovery
russ188,ring_width_or_unlabeled,0.771,0,0.847,0.8214285714285714,0.6333333333333333
russ074t,density,0.714,11,0.803,0.9642857142857143,0.6666666666666666
co566,ring_width_or_unlabeled,0.822,0,0.889,0.9642857142857143,0.4666666666666667
russ110e,width_component,0.782,0,0.808,0.10714285714285714,0.03333333333333333
co569,ring_width_or_unlabeled,0.784,1,0.807,0.6785714285714286,0.26666666666666666
cana419,ring_width_or_unlabeled,0.784,0,0.85,0.8214285714285714,0.26666666666666666
swit289x,ring_width_or_unlabeled,0.671,70,0.81,0.6428571428571429,0.2
cana220,ring_width_or_unlabeled,0.782,126,0.859,1,0.4666666666666667
cana421,ring_width_or_unlabeled,0.818,0,0.811,1,0.6
cana339,ring_width_or_unlabeled,0.767,8,0.823,1,0.4666666666666667
russ089w,ring_width_or_unlabeled,0.737,0,0.8,0.7142857142857143,0
nm590,ring_width_or_unlabeled,0.831,0,0.843,0.8571428571428571,0.6
russ070n,density,0.414,170,0.9,0.14285714285714285,0.13333333333333333
fran046,ring_width_or_unlabeled,0.743,5,0.814,0.6428571428571429,0.3333333333333333
co695,ring_width_or_unlabeled,0.729,5,0.845,0.8571428571428571,0.5333333333333333
nm568,ring_width_or_unlabeled,0.803,1,0.851,0.8571428571428571,0.43333333333333335
russ140e,width_component,0.716,6,0.803,0.6428571428571429,0.26666666666666666
swit292,ring_width_or_unlabeled,0.747,2,0.8,0.32142857142857145,0.5666666666666667
russ152x,density,0.756,4,0.823,1,0.3333333333333333
az100,ring_width_or_unlabeled,0.822,0,0.818,0.6785714285714286,0.3333333333333333
co674,ring_width_or_unlabeled,0.827,1,0.842,1,0.6
cana332,ring_width_or_unlabeled,0.727,12,0.809,0.6785714285714286,0.2
az547,ring_width_or_unlabeled,0.824,0,0.837,0.8928571428571429,0.6666666666666666
