acceptance_rate,accepted_correct,accepted_incorrect,accepted_range_coverage,accepted_rounds,accepted_series_fraction,accepted_series_macro_coverage,accepted_source_fraction,accepted_source_macro_coverage,correct_acceptance_rate,fold,incorrect_acceptance_rate,method,overall_range_coverage,positive_rounds,rejected_range_coverage,rejected_rounds,rounds,target
0.692,161,12,0.930635838150289,173,0.7851239669421488,0.9201754385964912,0.8450704225352113,0.910489417989418,0.644,1,0.048,logistic_compact,0.848,212,0.6623376623376623,77,250,accept_0.70
0.716,158,21,0.88268156424581,179,0.8016528925619835,0.8630584192439863,0.9014084507042254,0.8402901785714286,0.632,2,0.084,logistic_compact,0.792,198,0.5633802816901409,71,250,accept_0.70
0.68,154,16,0.9058823529411765,170,0.7603305785123967,0.8927536231884058,0.8591549295774648,0.8683060109289618,0.616,3,0.064,logistic_compact,0.816,204,0.625,80,250,accept_0.70
0.724,164,17,0.9060773480662984,181,0.7642276422764228,0.9079787234042553,0.8333333333333334,0.8940873015873015,0.656,4,0.068,logistic_compact,0.824,206,0.6086956521739131,69,250,accept_0.70
0.6907630522088354,153,19,0.8895348837209303,172,0.7868852459016393,0.8793402777777778,0.8873239436619719,0.8455908289241623,0.6144578313253012,5,0.07630522088353414,logistic_compact,0.8313253012048193,207,0.7012987012987013,77,249,accept_0.70
0.732,168,15,0.9180327868852459,183,0.7933884297520661,0.9071180555555556,0.8450704225352113,0.8924338624338625,0.672,1,0.06,logistic_compact,0.848,212,0.6567164179104478,67,250,accept_0.75
0.78,170,25,0.8717948717948718,195,0.8264462809917356,0.8388333333333333,0.9014084507042254,0.8241443452380952,0.68,2,0.1,logistic_compact,0.792,198,0.509090909090909,55,250,accept_0.75
0.716,162,17,0.9050279329608939,179,0.7768595041322314,0.8911347517730497,0.8732394366197183,0.8672043010752688,0.648,3,0.068,logistic_compact,0.816,204,0.5915492957746479,71,250,accept_0.75
0.78,175,20,0.8974358974358975,195,0.8536585365853658,0.8953968253968254,0.9027777777777778,0.8804395604395604,0.7,4,0.08,logistic_compact,0.824,206,0.5636363636363636,55,250,accept_0.75
0.7429718875502008,165,20,0.8918918918918919,185,0.7868852459016393,0.8845486111111112,0.8873239436619719,0.8516754850088183,0.6626506024096386,5,0.08032128514056225,logistic_compact,0.8313253012048193,207,0.65625,64,249,accept_0.75
0.776,176,18,0.9072164948453608,194,0.8181818181818182,0.9015151515151515,0.8591549295774648,0.8931623021786956,0.704,1,0.072,logistic_compact,0.848,212,0.6428571428571429,56,250,accept_0.80
0.828,177,30,0.855072463768116,207,0.859504132231405,0.8209935897435897,0.9154929577464789,0.8037728937728937,0.708,2,0.12,logistic_compact,0.792,198,0.4883720930232558,43,250,accept_0.80
0.764,170,21,0.8900523560209425,191,0.8016528925619835,0.8836769759450172,0.9154929577464789,0.8528205128205129,0.68,3,0.084,logistic_compact,0.816,204,0.576271186440678,59,250,accept_0.80
0.82,181,24,0.8829268292682927,205,0.9024390243902439,0.871021021021021,0.9305555555555556,0.8578891257995735,0.724,4,0.096,logistic_compact,0.824,206,0.5555555555555556,45,250,accept_0.80
0.8152610441767069,179,24,0.8817733990147784,203,0.8360655737704918,0.876797385620915,0.9154929577464789,0.8344444444444444,0.7188755020080321,5,0.0963855421686747,logistic_compact,0.8313253012048193,207,0.6086956521739131,46,249,accept_0.80
0.816,182,22,0.8921568627450981,204,0.859504132231405,0.8854166666666666,0.9014084507042254,0.8802015692640692,0.728,1,0.088,logistic_compact,0.848,212,0.6521739130434783,46,250,accept_0.85
0.872,184,34,0.8440366972477065,218,0.8925619834710744,0.8072530864197531,0.9436619718309859,0.7917199715707178,0.736,2,0.136,logistic_compact,0.792,198,0.4375,32,250,accept_0.85
0.808,178,24,0.8811881188118812,202,0.8677685950413223,0.8731746031746032,0.9577464788732394,0.8561624649859944,0.712,3,0.096,logistic_compact,0.816,204,0.5416666666666666,48,250,accept_0.85
0.884,190,31,0.8597285067873304,221,0.9349593495934959,0.8428985507246377,0.9583333333333334,0.814423740510697,0.76,4,0.124,logistic_compact,0.824,206,0.5517241379310345,29,250,accept_0.85
0.8714859437751004,188,29,0.8663594470046083,217,0.9180327868852459,0.8505952380952381,0.971830985915493,0.8061996779388084,0.7550200803212851,5,0.11646586345381527,logistic_compact,0.8313253012048193,207,0.59375,32,249,accept_0.85
0.872,193,25,0.8853211009174312,218,0.9256198347107438,0.8787202380952381,0.9436619718309859,0.863177618401499,0.772,1,0.1,logistic_compact,0.848,212,0.59375,32,250,accept_0.90
0.9,189,36,0.84,225,0.9338842975206612,0.7980825958702065,0.9577464788732394,0.8000350140056023,0.756,2,0.144,logistic_compact,0.792,198,0.36,25,250,accept_0.90
0.86,186,29,0.8651162790697674,215,0.9008264462809917,0.8530581039755352,0.971830985915493,0.8350586611456177,0.744,3,0.116,logistic_compact,0.816,204,0.5142857142857142,35,250,accept_0.90
0.944,200,36,0.847457627118644,236,0.959349593495935,0.8411016949152542,0.9722222222222222,0.8099319727891157,0.8,4,0.144,logistic_compact,0.824,206,0.42857142857142855,14,250,accept_0.90
0.927710843373494,198,33,0.8571428571428571,231,0.9672131147540983,0.8419491525423729,1.0,0.7949921752738655,0.7951807228915663,5,0.13253012048192772,logistic_compact,0.8313253012048193,207,0.5,18,249,accept_0.90
0.692,163,10,0.9421965317919075,173,0.7603305785123967,0.9239130434782609,0.8732394366197183,0.9129928315412187,0.652,1,0.04,histgb_compact,0.848,212,0.6363636363636364,77,250,accept_0.70
0.72,159,21,0.8833333333333333,180,0.8016528925619835,0.8604810996563574,0.9295774647887324,0.8602813852813853,0.636,2,0.084,histgb_compact,0.792,198,0.5571428571428572,70,250,accept_0.70
0.684,157,14,0.9181286549707602,171,0.743801652892562,0.9088888888888889,0.8450704225352113,0.8991666666666667,0.628,3,0.056,histgb_compact,0.816,204,0.5949367088607594,79,250,accept_0.70
0.712,162,16,0.9101123595505618,178,0.8130081300813008,0.9081666666666667,0.8611111111111112,0.9016129032258065,0.648,4,0.064,histgb_compact,0.824,206,0.6111111111111112,72,250,accept_0.70
0.6947791164658634,158,15,0.9132947976878613,173,0.8114754098360656,0.9095959595959596,0.9154929577464789,0.897051282051282,0.6345381526104418,5,0.060240963855421686,histgb_compact,0.8313253012048193,207,0.6447368421052632,76,249,accept_0.70
0.712,168,10,0.9438202247191011,178,0.7933884297520661,0.9276041666666667,0.8873239436619719,0.9145502645502646,0.672,1,0.04,histgb_compact,0.848,212,0.6111111111111112,72,250,accept_0.75
0.772,168,25,0.8704663212435233,193,0.8347107438016529,0.8376237623762376,0.9436619718309859,0.8327647476901209,0.672,2,0.1,histgb_compact,0.792,198,0.5263157894736842,57,250,accept_0.75
0.744,167,19,0.8978494623655914,186,0.8099173553719008,0.8848639455782313,0.9014084507042254,0.865625,0.668,3,0.076,histgb_compact,0.816,204,0.578125,64,250,accept_0.75
0.752,171,17,0.9095744680851063,188,0.8373983739837398,0.9093851132686084,0.8611111111111112,0.9052995391705069,0.684,4,0.068,histgb_compact,0.824,206,0.5645161290322581,62,250,accept_0.75
0.7710843373493976,172,20,0.8958333333333334,192,0.8770491803278688,0.8886292834890965,0.9436619718309859,0.8577943615257048,0.6907630522088354,5,0.08032128514056225,histgb_compact,0.8313253012048193,207,0.6140350877192983,57,249,accept_0.75
0.792,181,17,0.9141414141414141,198,0.8512396694214877,0.8953074433656958,0.9295774647887324,0.8893939393939394,0.724,1,0.068,histgb_compact,0.848,212,0.5961538461538461,52,250,accept_0.80
0.808,176,26,0.8712871287128713,202,0.8512396694214877,0.8367313915857605,0.9436619718309859,0.8265458422174841,0.704,2,0.104,histgb_compact,0.792,198,0.4583333333333333,48,250,accept_0.80
0.788,175,22,0.8883248730964467,197,0.8512396694214877,0.8865695792880259,0.9577464788732394,0.8676470588235294,0.7,3,0.088,histgb_compact,0.816,204,0.5471698113207547,53,250,accept_0.80
0.796,178,21,0.8944723618090452,199,0.8699186991869918,0.8862928348909658,0.9027777777777778,0.866080586080586,0.712,4,0.084,histgb_compact,0.824,206,0.5490196078431373,51,250,accept_0.80
0.8192771084337349,182,22,0.8921568627450981,204,0.9016393442622951,0.8784848484848485,0.9436619718309859,0.8483416252072968,0.7309236947791165,5,0.08835341365461848,histgb_compact,0.8313253012048193,207,0.5555555555555556,45,249,accept_0.80
0.832,190,18,0.9134615384615384,208,0.8842975206611571,0.8948598130841121,0.9295774647887324,0.8819559228650138,0.76,1,0.072,histgb_compact,0.848,212,0.5238095238095238,42,250,accept_0.85
0.864,183,33,0.8472222222222222,216,0.8842975206611571,0.8085669781931464,0.9577464788732394,0.8021358543417367,0.732,2,0.132,histgb_compact,0.792,198,0.4411764705882353,34,250,accept_0.85
0.836,181,28,0.8660287081339713,209,0.9008264462809917,0.8530581039755352,0.971830985915493,0.8347826086956521,0.724,3,0.112,histgb_compact,0.816,204,0.5609756097560976,41,250,accept_0.85
0.856,184,30,0.8598130841121495,214,0.9105691056910569,0.8413690476190476,0.9444444444444444,0.8033613445378152,0.736,4,0.12,histgb_compact,0.824,206,0.6111111111111112,36,250,accept_0.85
0.8634538152610441,189,26,0.8790697674418605,215,0.9344262295081968,0.8678362573099415,0.971830985915493,0.8309983896940418,0.7590361445783133,5,0.10441767068273092,histgb_compact,0.8313253012048193,207,0.5294117647058824,34,249,accept_0.85
0.872,194,24,0.8899082568807339,218,0.9090909090909091,0.8734848484848485,0.9295774647887324,0.8630165289256199,0.776,1,0.096,histgb_compact,0.848,212,0.5625,32,250,accept_0.90
0.92,191,39,0.8304347826086956,230,0.9669421487603306,0.777920227920228,0.9859154929577465,0.7771768707482993,0.764,2,0.156,histgb_compact,0.792,198,0.35,20,250,accept_0.90
0.872,186,32,0.8532110091743119,218,0.9338842975206612,0.8402654867256637,0.971830985915493,0.8181159420289855,0.744,3,0.128,histgb_compact,0.816,204,0.5625,32,250,accept_0.90
0.932,196,37,0.8412017167381974,233,0.9512195121951219,0.8196581196581196,0.9861111111111112,0.7776324614352783,0.784,4,0.148,histgb_compact,0.824,206,0.5882352941176471,17,250,accept_0.90
0.9076305220883534,197,29,0.8716814159292036,226,0.9590163934426229,0.856980056980057,0.9859154929577465,0.8223015873015873,0.7911646586345381,5,0.11646586345381527,histgb_compact,0.8313253012048193,207,0.43478260869565216,23,249,accept_0.90
0.684,160,11,0.935672514619883,171,0.7520661157024794,0.9172161172161172,0.8450704225352113,0.9011111111111111,0.64,1,0.044,lightgbm_compact,0.848,212,0.6582278481012658,79,250,accept_0.70
0.72,157,23,0.8722222222222222,180,0.8181818181818182,0.8333333333333334,0.9295774647887324,0.822005772005772,0.628,2,0.092,lightgbm_compact,0.792,198,0.5857142857142857,70,250,accept_0.70
0.692,160,13,0.9248554913294798,173,0.7603305785123967,0.9117753623188406,0.8873239436619719,0.8899470899470899,0.64,3,0.052,lightgbm_compact,0.816,204,0.5714285714285714,77,250,accept_0.70
0.736,168,16,0.9130434782608695,184,0.8130081300813008,0.9211666666666667,0.8611111111111112,0.9123655913978495,0.672,4,0.064,lightgbm_compact,0.824,206,0.5757575757575758,66,250,accept_0.70
0.6706827309236948,150,17,0.8982035928143712,167,0.8278688524590164,0.8886138613861386,0.9154929577464789,0.8669230769230769,0.6024096385542169,5,0.06827309236947791,lightgbm_compact,0.8313253012048193,207,0.6951219512195121,82,249,accept_0.70
